"ecbq_inhib_cntrl","Float","","Recommended","The capacity to stop, moderate, or refrain from a behavior under instruction","","","inhibitory_control"
"ecbq_low_pleas","Float","","Recommended","Pleasure or enjoyment related to situations involving low stimulus intensity, rate, complexity, novelty and incongruity (=IBQ Low_Pleas) ","","","low_intensity_pleasure"
"ecbq_motor","Float","","Recommended","Repetitive small-motor movements; fidgeting ","","","motor_activation"
"ecbq_percept_sens","Float","","Recommended","Detection of slight, low intensity stimuli from the external environment (=IBQ Percept_Sens)","","","perceptual_sensitivity"
"ecbq_pos_anticipate","Float","","Recommended","Excitement about expected pleasurable activities (=IBQ Approach) ","","","positive_anticipation�"
"ecbq_sadness","Float","","Recommended","Tearfulness or lowered mood related to exposure to personal suffering, disappointment, object loss, loss of approval, or response to other�s suffering (=IBQ Sadness) ","","","sadness�"
"ecbq_shyness","Float","","Recommended","Slow or inhibited approach and/or discomfort in social situations involving novelty or uncertainty ","","","shyness�"
"ecbq_sociability","Float","","Recommended","Seeking and taking pleasure in interactions with others ","","","sociability�"
"ecbq_soothability","Float","","Recommended","Rate of recovery from peak distress, excitement, or general arousal (=IBQ Fall_React)","","","soothability�"
"ecbq_surgency","Float","","Recommended","Surgency score","","COMPUTE SURGENCY = mean(ECBQ_Activity, ECBQ_High_Pleas, ECBQ_Impulsive, ECBQ_Pos_Anticipate, ECBQ_Sociability)",""
"ecbq_negative_aff","Float","","Recommended","Negative affect score","","COMPUTE NEGATIVE_AFF = mean(ECBQ_Discomfort, ECBQ_Fear, ECBQ_Frustration, ECBQ_Motor, ECBQ_Percept_Sens, ECBQ_Sadness, ECBQ_Shyness, (8 - ECBQ_Soothability)) ",""
"ecbq_effort_cntrl","Float","","Recommended","Effort control score","","COMPUTE EFFORT_CNTRL = mean(ECBQ_Attn_Focus, ECBQ_Attn_Shift, ECBQ_Cuddliness, ECBQ_Inhib_Cntrl, ECBQ_Low_Pleas) ",""
"site","String","101","Recommended","Site","","Study Site",""
"relationship","Integer","","Recommended","Relationship of respondent to individual","1::95;-999","1 = Biological mom; 2 = Biological dad; 3 = Grandparent; 4 = Special education (sped) teacher; 5 = General education teacher; 6 = Occupational therapist; 7 = Speech and language therapist; 8 = Behavioral therapist; 9 = Paraprofessional; 10 = Aide; 11 = Principal; 12 = Administrator; 14 = Content teacher; 15 = Parent center director; 16 = Self; 17 = Adoptive mother; 18 = Adoptive father; 19 = Foster mother; 20 = Foster father; 21 = Grandmother; 22 = Grandfather; 23 = Step-mother; 24 = Step-father; 25 = Aunt; 26 = Uncle; 28 = Both parents; 31 = Grandmother from mother side; 32 = Grandfather from mother side; 33 = Grandmother from father side; 34 = Grandfather from father side; 36 = Brother; 37 = Sister; 38 = Cousin; 39 = Female caregiver; 40 = Male caregiver; 41 = Female child; 42 = Male child; 43 = Spouse/Mate; 44 = Friend; 45 = Parent; 46 = Significant other; 47 = Sibling; 48 = Son/Daughter; 49 = Son-in-law/Daughter-in law; 50 = Other Relative; 51 = Paid caregiver; 52 = Friends; 53 = Roommate; 54 = Supervisor; 55 = Mother's boyfriend; 56 = Other parental figure; 57 = Summary; 58 = Counselor; 59 = Other female relative; 60 = Other male relative; 61 = Non-relative ; 62 = Maternal Aunt; 63 = Maternal Uncle; 64 = Maternal Cousin; 65 = Paternal Aunt; 66 = Paternal Uncle; 67 = Paternal Cousin; 68 = Biological/Adoptive Mother and Grandmother; 69 = Biological/Adoptive Mother and Stepmother and Grandmother; 70 = Biological/Adoptive Mother and Grandmother and Foster Father; 71 = Biological/Adoptive Mother and Stepmother and Foster Mother; 72 = Biological/Adoptive Mother and Foster Mother; 73 = Biological/Adoptive Mother and Biological/Adoptive Father; 74 = Biological/Adoptive Mother and Stepmother and Biological/Adoptive Father; 75 = Biological/Adoptive Mother and Other; 76 = Biological/Adoptive Mother and Stepmother and Stepfather; 77 = Biological/Adoptive Mother and Stepfather; 78 = Biological/Adoptive Mother and Grandfather; 79 = Biological/Adoptive Mother and Stepmother and Foster Father; 80 = Biological/Adoptive Mother and Stepmother; 81 = Guardian, female; 82 = Other female; 83 = Guardian, male; 84 = Other male; 85 = Other/Grandparent/Nanny; 86 = Mother, Father, Guardian; 87 = Daughter, son, grandchild; 88 = Professional (e.g., social worker, nurse, therapist, psychiatrist, or group home staff); -999 = Missing; 89 = Biological parent; 90 = Other; 91 = Stepparent; 92 = Adoptive parent; 93 = Foster parent; 94 = Co-worker; 95 = Independent Evaluator",""
